,username,date,tweet,language,hashtags
1015,borisjohnson,2020-03-22,"This Mother’s Day, everyone should stop #coronavirus spreading.  Keep your mum safe. Stay at home.  #StayHomeSaveLives #MothersDay  https://t.co/6OQ7cGm57w",en,"['coronavirus', 'stayhomesavelives', 'mothersday']"
1014,borisjohnson,2020-03-22,"We will get through this together, and we will beat the virus.   To win this fight, we need everyone to follow our advice: as far as possible, we want you to stay at home. The more effectively everyone does this, the faster this country will recover.  #StayHomeSaveLives",en,['stayhomesavelives']
1016,borisjohnson,2020-03-22,Thank you @AthertonNWales!,en,[]
1011,borisjohnson,2020-03-23,"If you don’t follow these instructions, you are putting people’s lives at risk:   You must stay at home to protect our NHS and save lives.   #StayHomeSaveLives",en,['stayhomesavelives']
1010,borisjohnson,2020-03-23,"These are the people who are saving lives.   Stay at home, protect the NHS, and save lives.    #StayHomeSaveLives",en,['stayhomesavelives']
1009,borisjohnson,2020-03-23,Please join me for an important update on #coronavirus #StayHomeSaveLives  https://t.co/QSlIOIaYsF,en,"['coronavirus', 'stayhomesavelives']"
1008,borisjohnson,2020-03-24,"At this moment of national emergency you must stay at home, protect the NHS and save lives.   #StayHomeSaveLives  https://t.co/nb2baBmMJr",en,['stayhomesavelives']
1007,borisjohnson,2020-03-24,"This morning, I chaired the first ever video conference Cabinet meeting.   We must all do our bit to stop the spread of coronavirus, protect our NHS and save lives. #StayHomeSaveLives    https://t.co/Eew4i0Wr5q  https://t.co/LkWYYnMXnq",en,['stayhomesavelives']
1006,borisjohnson,2020-03-24,"Our athletes are committed to being the best in their field- day in, day out. To see their chance at Olympic glory postponed is hugely disappointing. But they recognise that this means more. We must now show our dedication by staying at home, protecting the NHS and saving lives.",en,[]
1005,borisjohnson,2020-03-24,"Thank you to the 11,788 former NHS staff who have answered the call to support the health service as it responds to #coronavirus.  Now people must stay at home to support you, so that you can be there to support us in our hour of need. #StayHomeSaveLives",en,"['coronavirus', 'stayhomesavelives']"
1004,borisjohnson,2020-03-25,"Fantastic to see so many people doing their bit in the fight against #coronavirus  If you want to volunteer to help the NHS, you can do so here:  https://t.co/iD28UgOrZR",en,['coronavirus']
1003,borisjohnson,2020-03-25,"Your NHS needs you. If you can help the NHS during the #coronavirus pandemic, visit ⬇️  https://t.co/y4rbSUuu4J",en,['coronavirus']
1002,borisjohnson,2020-03-25,"🏠 Stay at home 🏥 Protect the NHS ♥ Save lives  Millions of people are already following the rules, and helping to save lives. Please play your part by staying at home.   #StayHomeSaveLives   https://t.co/kdHUGOW5he  https://t.co/bGGxx8rK9z",en,['stayhomesavelives']
1001,borisjohnson,2020-03-25,"We’re taking the right measures at the right time. It is vital to slow the spread of the disease, so stay at home, protect the NHS and save lives. #StayHomeSaveLives",en,['stayhomesavelives']
1000,borisjohnson,2020-03-25,"Thank you to the 405,000 incredible NHS volunteer responders who have signed up today.  If you want to sign up, follow this link:  https://t.co/iD28UgOrZR  https://t.co/Ii8NvVy1TK",en,[]
997,borisjohnson,2020-03-26,"On behalf of the whole country, I want to thank all the incredible nurses, doctors, NHS support staff &amp; carers who are working flat out to fight coronavirus 👏 #ClapForOurCarers #ClapForNHS  To help them, and protect the NHS, we need everyone to stay at home #StayHomeSaveLives  https://t.co/kpdQ5KHQiy",en,"['clapforourcarers', 'clapfornhs', 'stayhomesavelives']"
999,borisjohnson,2020-03-26,"I want to thank all of our brilliant public servants, not only in the NHS, but also in the Police, Armed Forces, local government, social care and elsewhere - you have shown extraordinary courage in facing this national emergency. Our country owes you a huge debt of gratitude.  https://t.co/ExjgZ2HhYM",en,[]
998,borisjohnson,2020-03-26,"Governments around the world must step up to help us defeat #coronavirus.  I’ve announced a further £210m of aid funding for vaccine research following today's G20 call, meaning the UK is going above and beyond in the search for a vaccine.   ➡️  https://t.co/lkk9nF2hKP  https://t.co/xLahX2PYyB",en,['coronavirus']
996,borisjohnson,2020-03-27,"Over the last 24 hours I have developed mild symptoms and tested positive for coronavirus.  I am now self-isolating, but I will continue to lead the government’s response via video-conference as we fight this virus.  Together we will beat this. #StayHomeSaveLives  https://t.co/9Te6aFP0Ri",en,['stayhomesavelives']
995,borisjohnson,2020-03-28,"Thank you to everybody who’s doing what I’m doing, working from home and stopping the virus spreading from household to household.  We’re going to beat it, and we’re going to beat it together. Stay at home, protect the NHS and save lives. #StayHomeSaveLives",en,['stayhomesavelives']
994,borisjohnson,2020-03-29,"Thanks to everyone who has been staying at home.  By delaying the spread of the disease we can reduce the pressure on our NHS, and that's how we hope to save many thousands of lives.  #StayHomeSaveLives  https://t.co/kxdqItMYSE",en,['stayhomesavelives']
993,borisjohnson,2020-03-30,"I’ve been working from home and continuing to lead the government’s response to coronavirus.  Stay at home, protect the NHS, and save lives. #StayHomeSaveLives  https://t.co/tYqHYa0Sfy",en,['stayhomesavelives']
992,borisjohnson,2020-03-30,"Thank you to the 20,000 former staff coming back to the NHS.  And thank you to the 750,000 people who have volunteered to help vulnerable people through this crisis.  We will get through it together.  #Coronavirus #StayHomeSaveLives",en,"['coronavirus', 'stayhomesavelives']"
991,borisjohnson,2020-03-31,"This morning I chaired the first ever digital Cabinet.   Our message to the public is: stay at home, protect the NHS, save lives. #StayHomeSaveLives  https://t.co/pgeRc3FHIp",en,['stayhomesavelives']
990,borisjohnson,2020-03-31,Thank you Kaydyn for staying at home. Glad the food box arrived.   We’re doing everything we can to protect people like you.  #StayHomeSaveLives,en,['stayhomesavelives']
989,borisjohnson,2020-04-01,"I'm staying at home to protect our NHS and save lives.  If we all follow government advice, we can beat #coronavirus together.  #StayHomeSaveLives",en,"['coronavirus', 'stayhomesavelives']"
988,borisjohnson,2020-04-01,"Here's an update to bring you up to speed on some of the things that we are doing to protect our NHS.  We will beat coronavirus together by staying at home, protecting our NHS and saving lives.   #StayHomeSaveLives  https://t.co/FOYfvzlQPC",en,['stayhomesavelives']
987,borisjohnson,2020-04-02,Yesterday's data showed more people were using transport than in previous days.   Please do not leave your house unless absolutely necessary. It really will save lives.   #StayHomeSavesLives,en,['stayhomesaveslives']
986,borisjohnson,2020-04-02,"Stay at home, protect the NHS, save lives.   #StayHomeSaveLives  https://t.co/3w3D8UcuUT",en,['stayhomesavelives']
985,borisjohnson,2020-04-02,Thank you to the NHS and all of our critical workers for all you are doing to fight #coronavirus. You really are an inspiration. #ClapForOurCarers #ThankYouThursday #ClapForKeyWorkers  https://t.co/SRm2cAkAnQ,en,"['coronavirus', 'clapforourcarers', 'thankyouthursday', 'clapforkeyworkers']"
984,borisjohnson,2020-04-03,"Thank you to everyone involved in building the new NHS Nightingale Hospital over the past fortnight.  This immense effort means we will have an extra 4,000 beds to care for #coronavirus patients.  https://t.co/wbLOSmtaAP",en,['coronavirus']
983,borisjohnson,2020-04-03,"Another quick update from me on our campaign against #coronavirus.  You are saving lives by staying at home, so I urge you to stick with it this weekend, even if we do have some fine weather.  #StayHomeSaveLives  https://t.co/4GHmJhxXQ0",en,"['coronavirus', 'stayhomesavelives']"
982,borisjohnson,2020-04-03,"We must now come together to protect our NHS and to save many, many thousands of lives.   #StayHomeSaveLives  https://t.co/SeVMKTVpJB",en,['stayhomesavelives']
979,borisjohnson,2020-04-04,I have just spoken to @Keir_Starmer &amp; congratulated him on becoming Labour leader. We agreed on the importance of all party leaders continuing to work constructively together through this national emergency. I have invited him and other opposition leaders to a briefing next week.,en,[]
981,borisjohnson,2020-04-04,"This country has made a huge effort, a huge sacrifice, and done absolutely brilliantly well in delaying the spread of the virus.   But in this fine weather, please don't be tempted to break the regulations. I urge everyone to stay at home, protect the NHS and save lives.",en,[]
980,borisjohnson,2020-04-04,I have written to all leaders of opposition parties to invite them to work together at this moment of national emergency.  https://t.co/HgEsMo3DO2,en,[]
977,borisjohnson,2020-04-05,We can beat this together.   #StayHomeSaveLives  https://t.co/uXZzNUXhJ8,en,['stayhomesavelives']
976,borisjohnson,2020-04-05,"Thank you for doing your bit in the fight against #coronavirus.   Stay home, protect the NHS and save lives.    #StayHomeSaveLives  https://t.co/5p2dsucMbK",en,"['coronavirus', 'stayhomesavelives']"
